Session	Date	Time CST Local Time (UTC/GMT -6 hours )	Room	Paper Type	Session Name 	Pres. Order	Paper ID	Paper Title	Author	Length	Category	Presentation Preference	Is registered?	Type of registration	Underline comments	Session (on CHANGE SHEET)	Changed From	Changed To	Status of Change	Chair	Chair email	Abstract	Old Presentation Mode
Session D	2024-06-17	16:00	Alberto 4 (Cap. 400)	Main Conference	Efficient/Low-Resource Methods for NLP	5	242	Efficient Benchmarking (of Language Models)	['Yotam Perlitz', 'Elron Bandel', 'Ariel Gera', 'Ofir Arviv', 'Liat Ein-Dor', 'Eyal Shnarch', 'Noam Slonim', 'Michal Shmueli-Scheuer', 'Leshem Choshen']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 	DONE	Orals D4	Session E - 06/18 - 9-10:30 	Conf Session D - 06/17 - 16 - 17:30	Complete				
Session D	2024-06-17	16:00	Adelita (Cap. 120)	Industry	Industry 1	1	2 IND	HPipe: Large Language Model Pipeline Parallelism for Long Context on Heterogeneous Cost-effective Devices	Ruilong Ma, Xiang Yang, Jingyu Wang, Qi Qi, Haifeng Sun, Jing Wang, Zirui Zhuang, Jianxin Liao	Long 13/4.5/.5 (18)	Oral 	In Person	#N/A	#N/A	industry papers are allowed to present in ZOOM	#N/A	#N/A	#N/A	#N/A				
Session D	2024-06-17	16:00	Adelita (Cap. 120)	Industry	Industry 1	2	99 IND	Search Query Refinement for Japanese Named Entity Recognition in E-commerce Domain	Yuki Nakayama, Ryutaro Tatsushima, Erick Mendieta, Koji Murakami, Keiji Shinzato	Long 13/4.5/.5 (18)	Oral 	Virtual	Yes	In Person 		Orals D5							
Session D	2024-06-17	16:00	Adelita (Cap. 120)	Industry	Industry 1	3	15 IND	UINav: A Practical Approach to Train On-Device Automation Agents	Wei Li, Fu-Lin Hsu, Will Bishop, Folawiyo Campbell-Ajala, Max Lin, Oriana Riva	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person		Orals D5							
Session D	2024-06-17	16:00	Adelita (Cap. 120)	Industry	Industry 1	4	16 IND	Efficiently Distilling LLMs for Edge Applications	Achintya Kundu, Yu Chin Fabian Lim, Aaron Chew, Laura Wynter, Penny Chong, Rhui Dih Lee	Long 13/4.5/.5 (18)	Oral 	Virtual	Yes	Virtual 	industry papers are allowed to present in ZOOM	Orals D5							
Session D	2024-06-17	16:00	Adelita (Cap. 120)	Industry	Industry 1	5	43 IND	Conformer-Based Speech Recognition On Extreme Edge-Computing Devices	Mingbin Xu, Alex Jin, Sicheng Wang, Mu Su, Tim Ng, Henry Mason, Shiyi Han, Zhihong Lei, Yaqiao Deng, Zhen Huang, Mahesh Krishnamoorthy	Long 13/4.5/.5 (18)	Oral 	TBD	Yes	Virtual		Orals D5	Conf Session D - 06/17 - 16 - 17:30	Conf Session D - 06/17 - 16 - 17:30	Complete				
Session E	2024-06-18	9:00	Alberto 1 (Cap. 400)	Main Conference	Linguistic theories, Cognitive Modeling and Psycholinguistics	1	132	Visual Grounding Helps Learn Word Meanings in Low-Data Regimes	['Chengxu Zhuang', 'Evelina Fedorenko', 'Jacob Andreas']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E1				Nikhil Krishnaswamy	nkrishna@colostate.edu		
Session E	2024-06-18	9:00	Alberto 1 (Cap. 400)	Main Conference	Linguistic theories, Cognitive Modeling and Psycholinguistics	2	347	Analyzing the Use of Metaphors in News Editorials for Political Framing	['Meghdut Sengupta', 'Roxanne El Baff', 'Milad Alshomary', 'Henning Wachsmuth']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E1							
Session E	2024-06-18	9:00	Alberto 1 (Cap. 400)	Main Conference	Linguistic theories, Cognitive Modeling and Psycholinguistics	3	431	Generalizable Sarcasm Detection is Just Around the Corner, of Course!	['Hyewon Jang', 'Diego Frassinelli']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E1							
Session E	2024-06-18	9:00	Alberto 1 (Cap. 400)	Main Conference	Linguistic theories, Cognitive Modeling and Psycholinguistics	4	924	Verifying Claims About Metaphors with Large-Scale Automatic Metaphor Identification	['Kotaro Aono', 'Ryohei Sasano', 'Koichi Takeda']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E1							
Session E	2024-06-18	9:00	Alberto 1 (Cap. 400)	Main Conference	Linguistic theories, Cognitive Modeling and Psycholinguistics	5	1044	A Systematic Comparison of Syllogistic Reasoning in Humans and Language Models	['Tiwalayo Eisape', 'Michael Henry Tessler', 'Ishita Dasgupta', 'Fei Sha', 'Sjoerd van Steenkiste', 'Tal Linzen']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E1							
Session E	2024-06-18	9:00	Alberto 2 (Cap. 200)	Main Conference	Computational Social Science and Cultural Analytics	1	22	Building Knowledge-Guided Lexica to Model Cultural Variation	['Shreya Havaldar', 'Salvatore Giorgi', 'Sunny Rai', 'Thomas Talhelm', 'Sharath Chandra Guntuku', 'Lyle Ungar']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E2				Sunny Rai	sunnyrai@seas.upenn.edu		
Session E	2024-06-18	9:00	Alberto 2 (Cap. 200)	Main Conference	Computational Social Science and Cultural Analytics	2	292	Modeling Empathetic Alignment in Conversation	['Jiamin Yang', 'David Jurgens']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E2							
Session E	2024-06-18	9:00	Alberto 2 (Cap. 200)	Main Conference	Computational Social Science and Cultural Analytics	3	382	This Land is {Your, My} Land: Evaluating Geopolitical Bias in Language Models through Territorial Disputes	['Bryan Li', 'Samar Haider', 'Chris Callison-Burch']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E2							
Session E	2024-06-18	9:00	Alberto 2 (Cap. 200)	Main Conference	Computational Social Science and Cultural Analytics	4	567	You don't need a personality test to know these models are unreliable: Assessing the Reliability of Large Language Models on Psychometric Instruments	['Bangzhao Shu', 'Lechen Zhang', 'Minje Choi', 'Lavinia Dunagan', 'Lajanugen Logeswaran', 'Moontae Lee', 'Dallas Card', 'David Jurgens']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E2							
Session E	2024-06-18	9:00	Alberto 2 (Cap. 200)	Main Conference	Computational Social Science and Cultural Analytics	5	1084	Large Human Language Models: A Need and the Challenges	['Nikita Soni', 'H. Schwartz', 'João Sedoc', 'Niranjan Balasubramanian']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E2							
Session E	2024-06-18	9:00	Alberto 3 (Cap. 200)	Main Conference	Sentiment Analysis, Stylistic Analysis, and Argument Mining	1	337	My Heart Skipped a Beat! Recognizing Expressions of Embodied Emotion in Natural Language	['Yuan Zhuang', 'Tianyu Jiang', 'Ellen Riloff']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E3				Delia Irazú Hernández Farías	dirazuhf@inaoep.mx		
Session E	2024-06-18	9:00	Alberto 3 (Cap. 200)	Main Conference	Sentiment Analysis, Stylistic Analysis, and Argument Mining	2	341	Multimodal Multi-loss Fusion Network for Sentiment Analysis	['zehui wu', 'Ziwei Gong', 'Jaywon Koo', 'Julia Hirschberg']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E3							
Session E	2024-06-18	9:00	Alberto 3 (Cap. 200)	Main Conference	Sentiment Analysis, Stylistic Analysis, and Argument Mining	3	9	TelME: Teacher-leading Multimodal Fusion Network for Emotion Recognition in Conversation	['Taeyang Yun', 'Hyunkuk Lim', 'Jeonghwan Lee', 'Min Song']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 	DONE	Orals E3	Session E - 06/18 - 9-10:30 	Session E - 06/18 - 9-10:30 	Complete				Poster
Session E	2024-06-18	9:00	Alberto 3 (Cap. 200)	Main Conference	Sentiment Analysis, Stylistic Analysis, and Argument Mining	4	935	InstructABSA: Instruction Learning for Aspect Based Sentiment Analysis	['Kevin Scaria', 'Himanshu Gupta', 'Siddharth Goyal', 'Saurabh Arjun Sawant', 'Swaroop Mishra', 'Chitta Baral']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E3							
Session E	2024-06-18	9:00	Alberto 3 (Cap. 200)	Main Conference	Sentiment Analysis, Stylistic Analysis, and Argument Mining	5	1010	Enhancing Argument Summarization: Prioritizing Exhaustiveness in Key Point Generation and Introducing an Automatic Coverage Evaluation Metric	['Mohammad Khosravani', 'Chenyang Huang', 'Amine Trabelsi']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E3							
Session E	2024-06-18	9:00	Alberto 4 (Cap. 400)	Main Conference	Machine Learning for NLP	1	186	zrLLM: Zero-Shot Relational Learning on Temporal Knowledge Graphs with Large Language Models	['Zifeng Ding', 'Heling Cai', 'Jingpei Wu', 'Yunpu Ma', 'Ruotong Liao', 'Bo Xiong', 'Volker Tresp']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E4				Junjie Hu	junjie.hu@wisc.edu		
Session E	2024-06-18	9:00	Alberto 4 (Cap. 400)	Main Conference	Machine Learning for NLP	2	298	PromptFix: Few-shot Backdoor Removal via Adversarial Prompt Tuning	['Tianrong Zhang', 'Zhaohan Xi', 'Ting Wang', 'Prasenjit Mitra', 'Jinghui Chen']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E4							
Session E	2024-06-18	9:00	Alberto 4 (Cap. 400)	Main Conference	Machine Learning for NLP	3	669	The ART of LLM Refinement: Ask, Refine, and Trust	['Kumar Shridhar', 'Koustuv Sinha', 'Andrew Cohen', 'Tianlu Wang', 'Ping Yu', 'Ramakanth Pasunuru', 'Mrinmaya Sachan', 'Jason E Weston', 'Asli Celikyilmaz']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E4							
Session E	2024-06-18	9:00	Alberto 4 (Cap. 400)	Main Conference	Machine Learning for NLP	4	973	SemRoDe: Macro Adversarial Training to Learn Representations that are Robust to Word-Level Attacks	['Brian Formento', 'Wenjie Feng', 'Chuan-Sheng Foo', 'Anh Tuan Luu', 'See-Kiong Ng']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E4							
Session E	2024-06-18	9:00	Alberto 4 (Cap. 400)	Main Conference	Machine Learning for NLP	5	1012	ARM: Alignment with Residual Energy-Based Model	['Bo Pang', 'Caiming Xiong', 'Yingbo Zhou']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals E4							
Session E	2024-06-18	9:00	Adelita (Cap. 120)	Industry	Industry 2	1	26 IND	Modeling and Detecting Company Risks from News	Jiaxin Pei, Soumya Vadlamannati, Liang-Kang Huang, Daniel Preotiuc-Pietro, Xinyu Hua	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In person		Orals E5				Anoop Kumar	anoop.kumar@capitalone.com		
Session E	2024-06-18	9:00	Adelita (Cap. 120)	Industry	Industry 2	2	27 IND	Multiple-Question Multiple-Answer Text-VQA	Peng Tang, Srikar Appalaraju, R. Manmatha, Yusheng Xie, Vijay Mahadevan	Long 13/4.5/.5 (18)	Oral 	Virtual	Yes	Virtual	industry papers are allowed to present in ZOOM	Orals E5							
Session E	2024-06-18	9:00	Adelita (Cap. 120)	Industry	Industry 2	3	44 IND	Generating Signed Language Instructions in Large-Scale Dialogue Systems	Mert Inan, Katherine Atwell, Anthony Sicilia, Lorna Quandt, Malihe Alikhani	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person		Orals E5							
Session E	2024-06-18	9:00	Adelita (Cap. 120)	Industry	Industry 2	4	34 IND	An NLP-Focused Pilot Training Agent for Safe and Efficient Aviation Communication	Xiaochen Liu, Bowei Zou, AiTi Aw 	Long 13/4.5/.5 (18)	Oral 	Virtual	Yes	Virtual	industry papers are allowed to present in ZOOM	Orals E5							
Session E	2024-06-18	9:00	Adelita (Cap. 120)	Industry	Industry 2	5	62 IND	Reducing hallucination in structured outputs via Retrieval-Augmented Generation	Orlando Marquez Ayala, Patrice Bechard	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person		Orals E5							
Session I	2024-06-19	9:00	Alberto 1 (Cap. 400)	Main Conference	Resources and Evaluation 1	1	88	Assessing Factual Reliability of Large Language Model Knowledge	['Weixuan Wang', 'Barry Haddow', 'Alexandra Birch', 'Wei Peng']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I1				Aparna Elangovan	aparnae@student.unimelb.edu.au		
Session I	2024-06-19	9:00	Alberto 1 (Cap. 400)	Main Conference	Resources and Evaluation 1	2	167	Toward Informal Language Processing: Knowledge of Slang in Large Language Models	['Zhewei Sun', 'Qian Hu', 'Rahul Gupta', 'Richard Zemel', 'Yang Xu']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I1							
Session I	2024-06-19	9:00	Alberto 1 (Cap. 400)	Main Conference	Resources and Evaluation 1	3	183	Reasoning or Reciting? Exploring the Capabilities and Limitations of Language Models Through Counterfactual Tasks	['Zhaofeng Wu', 'Linlu Qiu', 'Alexis Ross', 'Ekin Akyürek', 'Boyuan Chen', 'Bailin Wang', 'Najoung Kim', 'Jacob Andreas', 'Yoon Kim']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I1							
Session I	2024-06-19	9:00	Alberto 1 (Cap. 400)	Main Conference	Resources and Evaluation 1	4	285	ExpertQA: Expert-Curated Questions and Attributed Answers	['Chaitanya Malaviya', 'Subin Lee', 'Sihao Chen', 'Elizabeth Sieber', 'Mark Yatskar', 'Dan Roth']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I1							
Session I	2024-06-19	9:00	Alberto 1 (Cap. 400)	Main Conference	Resources and Evaluation 1	5	799	Reliability Estimation of News Media Sources: Birds of a Feather Flock Together		Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Oral I1							
Session I	2024-06-19	9:00	Alberto 2 (Cap. 200)	Main Conference	Multimodality and Language Grounding to Vision, Robotics and Beyond	1	393	ALOHa: A New Measure for Hallucination in Captioning Models	['Suzanne Petryk', 'David Chan', 'Anish Kachinthaya', 'Haodi Zou', 'John Canny', 'Joseph E. Gonzalez', 'Trevor Darrell']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I2				Parisa Kordjamshidi	kordjams@msu.edu		
Session I	2024-06-19	9:00	Alberto 2 (Cap. 200)	Main Conference	Multimodality and Language Grounding to Vision, Robotics and Beyond	2	588	Lost in Space: Probing Fine-grained Spatial Understanding in Vision and Language Resamplers	['Georgios Pantazopoulos', 'Alessandro Suglia', 'Oliver Lemon', 'Arash Eshghi']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I2							
Session I	2024-06-19	9:00	Alberto 2 (Cap. 200)	Main Conference	Multimodality and Language Grounding to Vision, Robotics and Beyond	3	625	Sequential Compositional Generalization in Multimodal Models	['Semih Yagcioglu', 'Osman Batur İnce', 'Aykut Erdem', 'Erkut Erdem', 'Desmond Elliott', 'Deniz Yuret']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I2							
Session I	2024-06-19	9:00	Alberto 2 (Cap. 200)	Main Conference	Multimodality and Language Grounding to Vision, Robotics and Beyond	4	966	What Matters in Training a GPT4-Style Language Model with Multimodal Inputs?	['Yan Zeng', 'Hanbo Zhang', 'Jiani zheng', 'Jiangnan Xia', 'Guoqiang Wei', 'Yang Wei', 'Yuchen Zhang', 'Tao Kong', 'Ruihua Song']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	Virtual 	DONE: MOved to virtual	GT 20:00 - 22:00	Session I - 06/19 - 09-10:30	VGT 2 = 6/13 20:00 - 22:00	Complete				
Session I	2024-06-19	9:00	Alberto 2 (Cap. 200)	Main Conference	Multimodality and Language Grounding to Vision, Robotics and Beyond	4	1018	Mustango: Toward Controllable Text-to-Music Generation	['Jan Melechovsky', 'Zixun Guo', 'Deepanway Ghosal', 'Navonil Majumder', 'Dorien Herremans', 'Soujanya Poria']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I2							
Session I	2024-06-19	9:00	Alberto 2 (Cap. 200)	Main Conference		5	159	JAMDEC: Unsupervised Authorship Obfuscation using Constrained Decoding over Small Language Models	['Jillian Fisher', 'Ximing Lu', 'Jaehun Jung', 'Liwei Jiang', 'Zaid Harchaoui', 'Yejin Choi']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 	Moved from B to I	ORAL I2	Conf Session B - 06/17 - 11:-12:30	Session I - 06/19 - 09-10:30					
Session I	2024-06-19	9:00	Alberto 3 (Cap. 200)	Main Conference	NLP Applications 1	1	106	mEdIT: Multilingual Text Editing via Instruction Tuning	['Vipul Raheja', 'Dimitris Alikaniotis', 'Vivek Kulkarni', 'Bashar Alhafni', 'Dhruv Kumar']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 	DONE	Orals I3	Conf Session B - 06/17 - 11:-12:30	Session I - 06/19 - 09-10:30	Complete	Karan Sikka	karan.sikka@sri.com		
Session I	2024-06-19	9:00	Alberto 3 (Cap. 200)	Main Conference	NLP Applications 1	2	235	How Well Do Large Language Models Truly Ground?	['Hyunji Lee', 'Se June Joo', 'Chaeeun Kim', 'Joel Jang', 'Doyoung Kim', 'Kyoung-Woon On', 'Minjoon Seo']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I3							
Session I	2024-06-19	9:00	Alberto 3 (Cap. 200)	Main Conference	NLP Applications 1	3	407	Advancing Beyond Identification: Multi-bit Watermark for Large Language Models	['KiYoon Yoo', 'Wonhyuk Ahn', 'Nojun Kwak']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I3							
Session I	2024-06-19	9:00	Alberto 3 (Cap. 200)	Main Conference	NLP Applications 1	4	527	Multi-stage Retrieve and Re-rank Model for Automatic Medical Coding Recommendation	['Xindi Wang', 'Robert Mercer', 'Frank Rudzicz']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I3							
Session I	2024-06-19	9:00	Alberto 3 (Cap. 200)	Main Conference	NLP Applications 1	5	645	Code Models are Zero-shot Precondition Reasoners	['Lajanugen Logeswaran', 'Sungryull Sohn', 'Yiwei Lyu', 'Anthony Zhe Liu', 'Dong-Ki Kim', 'Dongsub Shim', 'Moontae Lee', 'Honglak Lee']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I3							
Session I	2024-06-19	9:00	Alberto 4 (Cap. 400)	Main Conference	Interpretability and Analysis of Models for NLP 1	1	21	Revisiting Zero-Shot Abstractive Summarization in the Era of Large Language Models from the Perspective of Position Bias	['Anshuman Chhabra', 'Hadi Askari', 'Prasant Mohapatra']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I4				Zhixue Zhao	zhixue.zhao@sheffield.ac.uk		
Session I	2024-06-19	9:00	Alberto 4 (Cap. 400)	Main Conference	Interpretability and Analysis of Models for NLP 1	2	156	Identifying Linear Relational Concepts in Large Language Models	['David Chanin', 'Anthony Hunter', 'Oana-Maria Camburu']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I4							
Session I	2024-06-19	9:00	Alberto 4 (Cap. 400)	Main Conference	Interpretability and Analysis of Models for NLP 1	3	202	QualEval: Qualitative Evaluation for Model Improvement	['Vishvak Murahari', 'Ameet Deshpande', 'Peter Clark', 'Tanmay Rajpurohit', 'Ashish Sabharwal', 'Karthik R Narasimhan', 'Ashwin Kalyan']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I4							
Session I	2024-06-19	9:00	Alberto 4 (Cap. 400)	Main Conference	Interpretability and Analysis of Models for NLP 1	4	221	Principles from Clinical Research for NLP Model Generalization	['Aparna Elangovan', 'Jiayuan He', 'Yuan Li', 'Karin Verspoor']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I4							
Session I	2024-06-19	9:00	Alberto 4 (Cap. 400)	Main Conference	Interpretability and Analysis of Models for NLP 1	5	225	From Language Modeling to Instruction Following: Understanding the Behavior Shift in LLMs after Instruction Tuning	['Xuansheng Wu', 'Wenlin Yao', 'Jianshu Chen', 'Xiaoman Pan', 'Xiaoyang Wang', 'Ninghao Liu', 'Dong Yu']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I4							
Session I	2024-06-19	9:00	Adelita (Cap. 120)	Industry	Industry 3	1	65 IND	Leveraging Customer Feedback for Multi-modal Insight Extraction	Sandeep Sricharan Mukku, Abinesh Kanagarajan, Pushpendu Ghosh, Chetan Aggarwal	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I5				Chenyang Zhu	zhu.chenyang@columbia.edu		
Session I	2024-06-19	9:00	Adelita (Cap. 120)	Industry	Industry 3	2	52 IND	An Automatic Prompt Generation System for Tabular Data Tasks	Ashlesha Akella, Abhijit Manatkar, Brijkumar Chavda, Hima Patel	Long 13/4.5/.5 (18)	Oral 	Virtual		In person	industry papers are allowed to present in ZOOM	Orals I5							
Session I	2024-06-19	9:00	Adelita (Cap. 120)	Industry	Industry 3	3	66 IND	Optimizing LLM Based Retrieval Augmented Generation Pipelines in the Financial Domain	Yiyun Zhao, Prateek Singh, Hanoz Bhathena, Bernardo Ramos, Aviral Joshi, Swaroop Gadiyaram, Saket Sharma	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals I5							
Session I	2024-06-19	9:00	Adelita (Cap. 120)	Industry	Industry 3	4	74 IND	Less is More for Improving Automatic Evaluation of Factual Consistency	Yiyun Zhao, Prateek Singh, Hanoz Bhathena, Bernardo Ramos, Aviral Joshi, Swaroop Gadiyaram, Saket Sharma	Long 13/4.5/.5 (18)	Oral 	Virtual	Yes	Virtual	industry papers are allowed to present in ZOOM	Orals I5							
Session I	2024-06-19	9:00	Adelita (Cap. 120)	Industry	Industry 3	5	94 IND	Tree-of-Question: Structured Retrieval Framework for Korean Question Answering Systems	Dongyub Lee, Younghun Jeong, Hwa-Yeon Kim, Hongyeon Yu, Seunghyun Han, Taesun Whang, Seungwoo Cho, Chanhee Lee, Gunsu Lee, Youngbum Kim	Long 13/4.5/.5 (18)	Oral 	TBD		In Person	industry papers are allowed to present in ZOOM	Orals J5							
Session J	2024-06-19	11:00	Alberto 1 (Cap. 400)	Main Conference	Resources and Evaluation 2	1	514	MAFALDA: A Benchmark and Comprehensive Study of Fallacy Detection and Classification	['Chadi Helwe', 'Tom Calamai', 'Pierre-Henri Paris', 'Chloé Clavel', 'Fabian M. Suchanek']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J1				Venelin Kovatchev	v.o.kovatchev@bham.ac.uk		
Session J	2024-06-19	11:00	Alberto 1 (Cap. 400)	Main Conference	Resources and Evaluation 2	2	616	Retrieval Helps or Hurts? A Deeper Dive into the Efficacy of Retrieval Augmentation to Language Models	['Seiji Maekawa', 'Hayate Iso', 'Sairam Gurajada', 'Nikita Bhutani']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J1							
Session J	2024-06-19	11:00	Alberto 1 (Cap. 400)	Main Conference	Resources and Evaluation 2	3	688	Lost in Translation? Translation Errors and Challenges for Fair Assessment of Text-to-Image Models on Multilingual Concepts	['Michael Saxon', 'Yiran Lawrence Luo', 'Sharon Levy', 'Chitta Baral', 'Yezhou Yang', 'William Yang Wang']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J1							
Session J	2024-06-19	11:00	Alberto 1 (Cap. 400)	Main Conference	Resources and Evaluation 2	4	888	LifeTox: Unveiling Implicit Toxicity in Life Advice	['Minbeom Kim', 'Jahyun Koo', 'Hwanhee Lee', 'Joonsuk Park', 'Hwaran Lee', 'Kyomin Jung']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J1							
Session J	2024-06-19	11:00	Alberto 1 (Cap. 400)	Main Conference	Resources and Evaluation 2	5	917	Safer-Instruct: Aligning Language Models with Automated Preference Data	['Taiwei Shi', 'Kai Chen', 'Jieyu Zhao']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J1							
Session J	2024-06-19	11:00	Alberto 2 (Cap. 200)	Main Conference	Speech recognition, text-to-speech and spoken language understanding	1	262	UniverSLU: Universal Spoken Language Understanding for Diverse Tasks with Natural Language Instructions	['Siddhant Arora', 'Hayato Futami', 'Jee-weon Jung', 'Yifan Peng', 'Roshan Sharma', 'Yosuke Kashiwagi', 'Emiru Tsunoo', 'Karen Livescu', 'Shinji Watanabe']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J2				Hyunsoo Cho	chohyunsoo@ewha.ac.kr		
Session J	2024-06-19	11:00	Alberto 2 (Cap. 200)	Main Conference	Speech recognition, text-to-speech and spoken language understanding	2	434	Encoding of lexical tone in self-supervised models of spoken language	['Gaofei Shen', 'Michaela Watkins', 'Afra Alishahi', 'Arianna Bisazza', 'Grzegorz Chrupała']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J2							
Session J	2024-06-19	11:00	Alberto 2 (Cap. 200)	Main Conference	Speech recognition, text-to-speech and spoken language understanding	3	513	Lost in Transcription: Identifying and Quantifying the Accuracy Biases of Automatic Speech Recognition Systems Against Disfluent Speech	['Dena Mujtaba', 'Nihar R. Mahapatra', 'Megan Arney', 'J Scott Yaruss', 'Hope Gerlach-Houck', 'Caryn Herring', 'Jia Bin']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J2							
Session J	2024-06-19	11:00	Alberto 2 (Cap. 200)	Main Conference	Speech recognition, text-to-speech and spoken language understanding	4	646	Contrastive and Consistency Learning for Neural Noisy-Channel Model in Spoken Language Understanding	['Suyoung Kim', 'Jiyeon Hwang', 'Ho-Young Jung']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J2							
Session J	2024-06-19	11:00	Alberto 2 (Cap. 200)	Main Conference	Speech recognition, text-to-speech and spoken language understanding	5	274	Measuring Entrainment in Spontaneous Code-switched Speech		Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 	DONE	Orals J2	Session E - 06/18 - 9-10:30 	Session J - 6/19 - 11-12:30	Complete				
Session J	2024-06-19	11:00	Alberto 3 (Cap. 200)	Main Conference	NLP Applications 2	1	696	TableLlama: Towards Open Large Generalist Models for Tables	['TIANSHU ZHANG', 'Xiang Yue', 'Yifei Li', 'Huan Sun']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J3				Shane Moon	shanemoon@meta.com		
Session J	2024-06-19	11:00	Alberto 3 (Cap. 200)	Main Conference	NLP Applications 2	2	774	The Integration of Semantic and Structural Knowledge in Knowledge Graph Entity Typing	['Muzhi Li', 'Minda Hu', 'Irwin King', 'Ho-fung Leung']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J3							
Session J	2024-06-19	11:00	Alberto 3 (Cap. 200)	Main Conference	NLP Applications 2	3	825	R-Tuning: Instructing Large Language Models to Say `I Don't Know'	['Hanning Zhang', 'Shizhe Diao', 'Yong Lin', 'Yi Fung', 'Qing LIAN', 'Xingyao Wang', 'Yangyi Chen', 'Heng Ji', 'Tong Zhang']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals J3							
